Timestamp,where do you belong?,If you need to purchase a stove what will you consider first,which stove you are currently using?,How much it cost's you monthly(bill)?,Cost of your Stove?,Do you have load-shedding of Gas or electricity in you area?,what improvement you want to see in stove in near future?,How long(time) does it takes to cook a meal for a day?,Do you think we can utilize our non-renewable energy somewhere else instead of wasting it for cooking?,Have you ever forget to turn off you stove after cooking?,Do you think that to have a gas stove at home is risky and dangerous?,Do you think it is preferable to have a portable cooking system?(for picnic etc),will you prefer a cooker with no headache of electricity or gas bill?,Do you think there should be a timer in your Stove?,Have you ever over cooked your food accidently?,Have you ever hurt yourself from fire while cooking?,In rural areas since there is no electricity or gas therefore mostly people use handmade stoves which release harmful smoke. Do you think it is a cause of  air pollution?,Sometimes gas is not available then how do you manage to cook? do you cook at low flame or use some other method? How long does it takes to cook food?,Do you think Cooking food with gas raises the risk of lung cancer?,Life time of your Stove?,What else difficulties do you face while cooking?,How much you are willing to spend on a cooker which is  [Easy to use],How much you are willing to spend on a cooker which is  [Energy Efficient],How much you are willing to spend on a cooker which is  [Safer ],How much you are willing to spend on a cooker which is  [provide precise temperature control],How much you are willing to spend on a cooker which is  [Time Efficient],How much you are willing to spend on a cooker which is  [Only one time investment],How much you are willing to spend on a cooker which is  [longer lifetime],How much you are willing to spend on a cooker which is  [All in one with finest quality],Any Remarks?
2020/11/08 6:31:54 PM GMT+5,Town,cost effective;safety;long live;easy to use;less pollution,Gas stove,more than 8000,8k-----12k,Both,,1 hour ,Strongly agree,Maybe,Strongly agree,Strongly agree,Strongly agree,yes,Yes,Agree,Strongly agree,It takes 2 to 3 hours to cook at low flame ,Strongly agree,10,Over cooking ,less than 10k,10k-----15k,15k-----20k,15k-----20k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,There should be electrical stove
2020/11/08 6:32:13 PM GMT+5,City,less pollution,Gas stove,2000-----4000,8k-----12k,Both,Less pollution,More than 2 hours,agree,Yes,Not sure,agree,Agree,yes,No,Agree,Agree,Take food outside,agree,3,Gas pressure up. Down,less than 10k,less than 10k,10k-----15k,10k-----15k,10k-----15k,less than 10k,10k-----15k,less than 10k,
2020/11/08 6:37:52 PM GMT+5,City,cost effective;power efficient;safety;portable;easy to use;less pollution,Gas stove,less than 2000,4k-----8k,Both,,1 and half hour,not sure,No,Disagree,Strongly agree,Strongly agree,yes,Yes,Agree,Strongly agree,Other method. 2 to 3 hpurs,agree,10,,less than 10k,10k-----15k,10k-----15k,less than 10k,10k-----15k,less than 10k,10k-----15k,10k-----15k,
2020/11/08 6:41:25 PM GMT+5,Town,cost effective;easy to use,Gas stove,2000-----4000,4k-----8k,Both,,3 hours,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,yes,Yes,Strongly agree,Agree,purchase from hotel,Strongly agree,6,switching over gas cylinder,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 6:43:44 PM GMT+5,City,cost effective;safety;long live,Gas stove,less than 2000,4k-----8k,Both,None,Depends on stuff you make. 30-50 minutes,not sure,No,Not sure,agree,Strongly agree,yes,Yes,Agree,Agree,Order food.,Not sure,9,None,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,None
2020/11/08 6:50:37 PM GMT+5,City,power efficient;long live;easy to use,Gas stove,2000-----4000,4k-----8k,Both,It should be fast running and efficient,2 hours,disagree,Yes,Not sure,agree,Agree,yes,Yes,Agree,Agree,We order the food,Disagree,7,It makes utensils black,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 6:50:43 PM GMT+5,City,All,Gas stove,less than 2000,8k-----12k,Both,"ایسے material سے stove بنا ہو کہ اسے ذرا سی  heat ملنے پر stove کا وہ stand جہاں برتن ہوتا ہے وہ گرم ہو جائے یعنی max heat observe کرے , اس سے بہت کم گیس میں بھی بہر فائدہ ہو گا اور بل بھی کم آئے گا",,not sure,Maybe,Strongly Disagree,Strongly agree,Strongly agree,yes,No,Not sure,Strongly Disagree,we use extra gas cylinder ,Not sure,10,,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,10k-----15k,10k-----15k,10k-----15k,
2020/11/08 6:53:07 PM GMT+5,City,safety,Gas stove,less than 2000,4k-----8k,Gas,easy to usy ,i dont know,not sure,Yes,Agree,Not sure,Not sure,yes,Maybe,Agree,Strongly agree,use hand made stove to cook and he gives time almost double of this,Not sure,4,heating,10k-----15k,less than 10k,15k-----20k,10k-----15k,less than 10k,less than 10k,15k-----20k,less than 10k,9
2020/11/08 6:53:16 PM GMT+5,City,safety,Gas stove,less than 2000,4k-----8k,Gas,easy to usy ,i dont know,not sure,Yes,Agree,Not sure,Not sure,yes,Maybe,Agree,Strongly agree,use hand made stove to cook and he gives time almost double of this,Not sure,4,heating,10k-----15k,less than 10k,15k-----20k,10k-----15k,less than 10k,less than 10k,15k-----20k,less than 10k,9
2020/11/08 6:56:39 PM GMT+5,City,cost effective;power efficient;safety;long live;portable;easy to use,Gas stove,less than 2000,4k-----8k,Both,I don't know,Half an hour,Strongly agree,No,Agree,Not sure,Not sure,yes,Maybe,Agree,Not sure,Cooking on LPG Cylinder,Not sure,1,Nothing,less than 10k,10k-----15k,less than 10k,10k-----15k,10k-----15k,less than 10k,10k-----15k,10k-----15k,No
2020/11/08 7:04:00 PM GMT+5,City,cost effective;power efficient;safety;long live;portable;easy to use;less pollution,Gas stove,less than 2000,4k-----8k,Both,,,not sure,Maybe,Disagree,agree,Strongly agree,yes,Maybe,Agree,Strongly agree,"When gas is not available, we use electric oven to cook food or order something from outside. We cook food at low flame. It takes maximum one hour to cook food for a day.",Disagree,10,,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
